time,depth,SM,sitename
7/27/2021,70,0.326041667,BN-PLAYABLANCA
7/27/2021,120,0.25075,BN-PLAYABLANCA
7/27/2021,170,0.303291667,BN-PLAYABLANCA
7/28/2021,10,0.340458333,BN-PLAYABLANCA
7/28/2021,40,0.283791667,BN-PLAYABLANCA
7/28/2021,70,0.321083333,BN-PLAYABLANCA
7/28/2021,120,0.248708333,BN-PLAYABLANCA
7/28/2021,170,0.302291667,BN-PLAYABLANCA
7/29/2021,10,0.335083333,BN-PLAYABLANCA
7/29/2021,40,0.28125,BN-PLAYABLANCA
7/29/2021,70,0.317875,BN-PLAYABLANCA
7/29/2021,120,0.247291667,BN-PLAYABLANCA
7/29/2021,170,0.30175,BN-PLAYABLANCA
7/30/2021,10,0.331333333,BN-PLAYABLANCA
7/30/2021,40,0.279416667,BN-PLAYABLANCA
7/30/2021,70,0.315541667,BN-PLAYABLANCA
7/30/2021,120,0.246166667,BN-PLAYABLANCA
7/30/2021,170,0.301,BN-PLAYABLANCA
7/31/2021,10,0.328125,BN-PLAYABLANCA
7/31/2021,40,0.277791667,BN-PLAYABLANCA
7/31/2021,70,0.3135,BN-PLAYABLANCA
7/31/2021,120,0.245166667,BN-PLAYABLANCA
7/31/2021,170,0.300333333,BN-PLAYABLANCA
8/1/2021,10,0.325416667,BN-PLAYABLANCA
8/1/2021,40,0.276416667,BN-PLAYABLANCA
8/1/2021,70,0.311583333,BN-PLAYABLANCA
8/1/2021,120,0.244375,BN-PLAYABLANCA
8/1/2021,170,0.299625,BN-PLAYABLANCA
8/2/2021,10,0.322666667,BN-PLAYABLANCA
8/2/2021,40,0.275125,BN-PLAYABLANCA
8/2/2021,70,0.309833333,BN-PLAYABLANCA
8/2/2021,120,0.243833333,BN-PLAYABLANCA
8/2/2021,170,0.299,BN-PLAYABLANCA
8/3/2021,10,0.320375,BN-PLAYABLANCA
8/3/2021,40,0.273791667,BN-PLAYABLANCA
8/3/2021,70,0.308416667,BN-PLAYABLANCA
8/3/2021,120,0.243,BN-PLAYABLANCA
8/3/2021,170,0.298083333,BN-PLAYABLANCA
8/4/2021,10,0.318916667,BN-PLAYABLANCA
8/4/2021,40,0.272875,BN-PLAYABLANCA
8/4/2021,70,0.307166667,BN-PLAYABLANCA
8/4/2021,120,0.2425,BN-PLAYABLANCA
8/4/2021,170,0.297291667,BN-PLAYABLANCA
8/5/2021,10,0.318,BN-PLAYABLANCA
8/5/2021,40,0.272,BN-PLAYABLANCA
8/5/2021,70,0.306041667,BN-PLAYABLANCA
8/5/2021,120,0.242,BN-PLAYABLANCA
8/5/2021,170,0.29675,BN-PLAYABLANCA
8/6/2021,10,0.316916667,BN-PLAYABLANCA
8/6/2021,40,0.27125,BN-PLAYABLANCA
8/6/2021,70,0.305083333,BN-PLAYABLANCA
8/6/2021,120,0.241583333,BN-PLAYABLANCA
8/6/2021,170,0.295958333,BN-PLAYABLANCA
8/7/2021,10,0.316,BN-PLAYABLANCA
8/7/2021,40,0.270625,BN-PLAYABLANCA
8/7/2021,70,0.304291667,BN-PLAYABLANCA
8/7/2021,120,0.241,BN-PLAYABLANCA
8/7/2021,170,0.294375,BN-PLAYABLANCA
8/8/2021,10,0.315291667,BN-PLAYABLANCA
8/8/2021,40,0.27,BN-PLAYABLANCA
8/8/2021,70,0.303416667,BN-PLAYABLANCA
8/8/2021,120,0.241,BN-PLAYABLANCA
8/8/2021,170,0.293708333,BN-PLAYABLANCA
8/9/2021,10,0.314291667,BN-PLAYABLANCA
8/9/2021,40,0.269041667,BN-PLAYABLANCA
8/9/2021,70,0.302625,BN-PLAYABLANCA
8/9/2021,120,0.240083333,BN-PLAYABLANCA
8/9/2021,170,0.293,BN-PLAYABLANCA
8/10/2021,10,0.313333333,BN-PLAYABLANCA
8/10/2021,40,0.268333333,BN-PLAYABLANCA
8/10/2021,70,0.301958333,BN-PLAYABLANCA
8/10/2021,120,0.24,BN-PLAYABLANCA
8/10/2021,170,0.292125,BN-PLAYABLANCA
8/11/2021,10,0.312291667,BN-PLAYABLANCA
8/11/2021,40,0.267666667,BN-PLAYABLANCA
8/11/2021,70,0.301,BN-PLAYABLANCA
8/11/2021,120,0.24,BN-PLAYABLANCA
8/11/2021,170,0.291083333,BN-PLAYABLANCA
8/12/2021,10,0.311333333,BN-PLAYABLANCA
8/12/2021,40,0.267,BN-PLAYABLANCA
8/12/2021,70,0.300125,BN-PLAYABLANCA
8/12/2021,120,0.239208333,BN-PLAYABLANCA
8/12/2021,170,0.290625,BN-PLAYABLANCA
8/13/2021,10,0.311,BN-PLAYABLANCA
8/13/2021,40,0.266291667,BN-PLAYABLANCA
8/13/2021,70,0.299708333,BN-PLAYABLANCA
8/13/2021,120,0.239,BN-PLAYABLANCA
8/13/2021,170,0.29,BN-PLAYABLANCA
8/14/2021,10,0.310333333,BN-PLAYABLANCA
8/14/2021,40,0.266,BN-PLAYABLANCA
8/14/2021,70,0.299,BN-PLAYABLANCA
8/14/2021,120,0.239,BN-PLAYABLANCA
8/14/2021,170,0.289166667,BN-PLAYABLANCA
8/15/2021,10,0.340333333,BN-PLAYABLANCA
8/15/2021,40,0.269041667,BN-PLAYABLANCA
8/15/2021,70,0.299291667,BN-PLAYABLANCA
8/15/2021,120,0.239,BN-PLAYABLANCA
8/15/2021,170,0.288833333,BN-PLAYABLANCA
8/16/2021,10,0.376458333,BN-PLAYABLANCA
8/16/2021,40,0.305708333,BN-PLAYABLANCA
8/16/2021,70,0.337291667,BN-PLAYABLANCA
8/16/2021,120,0.248708333,BN-PLAYABLANCA
8/16/2021,170,0.294541667,BN-PLAYABLANCA
8/17/2021,10,0.37025,BN-PLAYABLANCA
8/17/2021,40,0.298541667,BN-PLAYABLANCA
8/17/2021,70,0.334458333,BN-PLAYABLANCA
8/17/2021,120,0.252583333,BN-PLAYABLANCA
8/17/2021,170,0.303375,BN-PLAYABLANCA
8/18/2021,10,0.386291667,BN-PLAYABLANCA
8/18/2021,40,0.309708333,BN-PLAYABLANCA
8/18/2021,70,0.347958333,BN-PLAYABLANCA
8/18/2021,120,0.257875,BN-PLAYABLANCA
8/18/2021,170,0.307291667,BN-PLAYABLANCA
8/19/2021,10,0.369416667,BN-PLAYABLANCA
8/19/2021,40,0.301916667,BN-PLAYABLANCA
8/19/2021,70,0.341833333,BN-PLAYABLANCA
8/19/2021,120,0.256541667,BN-PLAYABLANCA
8/19/2021,170,0.3075,BN-PLAYABLANCA
8/20/2021,10,0.354541667,BN-PLAYABLANCA
8/20/2021,40,0.289208333,BN-PLAYABLANCA
8/20/2021,70,0.328666667,BN-PLAYABLANCA
8/20/2021,120,0.252458333,BN-PLAYABLANCA
8/20/2021,170,0.305541667,BN-PLAYABLANCA
8/21/2021,10,0.389875,BN-PLAYABLANCA
8/21/2021,40,0.310791667,BN-PLAYABLANCA
8/21/2021,70,0.346666667,BN-PLAYABLANCA
8/21/2021,120,0.256708333,BN-PLAYABLANCA
8/21/2021,170,0.307083333,BN-PLAYABLANCA
8/22/2021,10,0.363208333,BN-PLAYABLANCA
8/22/2021,40,0.298375,BN-PLAYABLANCA
8/22/2021,70,0.337916667,BN-PLAYABLANCA
8/22/2021,120,0.255625,BN-PLAYABLANCA
8/22/2021,170,0.30825,BN-PLAYABLANCA
8/23/2021,10,0.349708333,BN-PLAYABLANCA
8/23/2021,40,0.289166667,BN-PLAYABLANCA
8/23/2021,70,0.327958333,BN-PLAYABLANCA
8/23/2021,120,0.252583333,BN-PLAYABLANCA
8/23/2021,170,0.306875,BN-PLAYABLANCA
8/24/2021,10,0.343541667,BN-PLAYABLANCA
8/24/2021,40,0.285333333,BN-PLAYABLANCA
8/24/2021,70,0.323083333,BN-PLAYABLANCA
8/24/2021,120,0.2505,BN-PLAYABLANCA
8/24/2021,170,0.306,BN-PLAYABLANCA
8/25/2021,10,0.352208333,BN-PLAYABLANCA
8/25/2021,40,0.28325,BN-PLAYABLANCA
8/25/2021,70,0.319791667,BN-PLAYABLANCA
